owasp_id,owasp_name,skos_match_type,ibm_risk_id,ibm_risk_name,ibm_category,mit_action_id,mit_action_name,Sub_category,Category
llm022025-sensitive-information-disclosure,LLM02:2025 Sensitive Information Disclosure,relatedMatch,atlas-confidential-information-in-data,Confidential information in data,ibm-risk-atlas-intellectual-property,A0531_NIST2024,Data Exposure Red-Teaming,3.1 Testing & Auditing,3. Operational Process Controls
llm022025-sensitive-information-disclosure,LLM02:2025 Sensitive Information Disclosure,relatedMatch,atlas-confidential-information-in-data,Confidential information in data,ibm-risk-atlas-intellectual-property,A0884_UK Government2023,Societal Impact Research,1.7 Societal Impact Assessment,1. Governance & Oversight Controls
llm022025-sensitive-information-disclosure,LLM02:2025 Sensitive Information Disclosure,relatedMatch,atlas-ip-information-in-prompt,IP information in prompt,ibm-risk-atlas-intellectual-property,A0897_UK Government2023,Model Prompting,2.3 Model Safety Engineering,2. Technical & Security Controls
llm022025-sensitive-information-disclosure,LLM02:2025 Sensitive Information Disclosure,relatedMatch,atlas-ip-information-in-prompt,IP information in prompt,ibm-risk-atlas-intellectual-property,A0933_UK Government2023,Disclosure of Input Data Audits with External Stakeholders,4.2 Risk Disclosure,4. Transparency & Accountability Controls
llm022025-sensitive-information-disclosure,LLM02:2025 Sensitive Information Disclosure,relatedMatch,atlas-ip-information-in-prompt,IP information in prompt,ibm-risk-atlas-intellectual-property,A0470_NIST2024,Third-Party IP Protection,3.2 Data Governance,3. Operational Process Controls
llm022025-sensitive-information-disclosure,LLM02:2025 Sensitive Information Disclosure,relatedMatch,atlas-membership-inference-attack,Membership inference attack,ibm-risk-atlas-privacy,A0993_Gipikis2024,Quantifying privacy risks of AI models,3.1 Testing & Auditing,3. Operational Process Controls
llm022025-sensitive-information-disclosure,LLM02:2025 Sensitive Information Disclosure,relatedMatch,atlas-membership-inference-attack,Membership inference attack,ibm-risk-atlas-privacy,A0924_UK Government2023,Data Audits for AI System Behavior,3.1 Testing & Auditing,3. Operational Process Controls
llm022025-sensitive-information-disclosure,LLM02:2025 Sensitive Information Disclosure,relatedMatch,atlas-membership-inference-attack,Membership inference attack,ibm-risk-atlas-privacy,A0923_UK Government2023,Data Audits for AI System Behavior,3.1 Testing & Auditing,3. Operational Process Controls
llm022025-sensitive-information-disclosure,LLM02:2025 Sensitive Information Disclosure,relatedMatch,atlas-personal-information-in-data,Personal information in data,ibm-risk-atlas-privacy,A0933_UK Government2023,Disclosure of Input Data Audits with External Stakeholders,4.2 Risk Disclosure,4. Transparency & Accountability Controls
llm022025-sensitive-information-disclosure,LLM02:2025 Sensitive Information Disclosure,relatedMatch,atlas-personal-information-in-data,Personal information in data,ibm-risk-atlas-privacy,A0932_UK Government2023,Independent Data Input Audits,4.5 Third-Party System Access,4. Transparency & Accountability Controls
llm022025-sensitive-information-disclosure,LLM02:2025 Sensitive Information Disclosure,relatedMatch,atlas-personal-information-in-data,Personal information in data,ibm-risk-atlas-privacy,A0473_NIST2024,PII Detection Methods,2.4 Content Safety Controls,2. Technical & Security Controls
llm022025-sensitive-information-disclosure,LLM02:2025 Sensitive Information Disclosure,relatedMatch,atlas-personal-information-in-prompt,Personal information in prompt,ibm-risk-atlas-privacy,A0897_UK Government2023,Model Prompting,2.3 Model Safety Engineering,2. Technical & Security Controls
llm022025-sensitive-information-disclosure,LLM02:2025 Sensitive Information Disclosure,relatedMatch,atlas-personal-information-in-prompt,Personal information in prompt,ibm-risk-atlas-privacy,A0933_UK Government2023,Disclosure of Input Data Audits with External Stakeholders,4.2 Risk Disclosure,4. Transparency & Accountability Controls
llm022025-sensitive-information-disclosure,LLM02:2025 Sensitive Information Disclosure,relatedMatch,atlas-personal-information-in-prompt,Personal information in prompt,ibm-risk-atlas-privacy,A0918_UK Government2023,Audits for Private or Sensitive Information,3.2 Data Governance,3. Operational Process Controls
llm022025-sensitive-information-disclosure,LLM02:2025 Sensitive Information Disclosure,relatedMatch,atlas-reidentification,Reidentification,ibm-risk-atlas-privacy,A0933_UK Government2023,Disclosure of Input Data Audits with External Stakeholders,4.2 Risk Disclosure,4. Transparency & Accountability Controls
llm022025-sensitive-information-disclosure,LLM02:2025 Sensitive Information Disclosure,relatedMatch,atlas-reidentification,Reidentification,ibm-risk-atlas-privacy,A0949_Gipikis2024,Testing for erroneous or irrelevant features through concept learning,3.1 Testing & Auditing,3. Operational Process Controls
llm022025-sensitive-information-disclosure,LLM02:2025 Sensitive Information Disclosure,relatedMatch,atlas-reidentification,Reidentification,ibm-risk-atlas-privacy,A0932_UK Government2023,Independent Data Input Audits,4.5 Third-Party System Access,4. Transparency & Accountability Controls
llm032025-supply-chain,LLM03:2025 Supply Chain,broadMatch,atlas-data-acquisition,Data acquisition restrictions,ibm-risk-atlas-data-laws,A0913_UK Government2023,Principle of Data Minimisation,3.2 Data Governance,3. Operational Process Controls
llm032025-supply-chain,LLM03:2025 Supply Chain,broadMatch,atlas-data-acquisition,Data acquisition restrictions,ibm-risk-atlas-data-laws,A0207_Schuett2023,Safety Restrictions,3.3 Access Management,3. Operational Process Controls
llm032025-supply-chain,LLM03:2025 Supply Chain,broadMatch,atlas-data-acquisition,Data acquisition restrictions,ibm-risk-atlas-data-laws,A0924_UK Government2023,Data Audits for AI System Behavior,3.1 Testing & Auditing,3. Operational Process Controls
llm032025-supply-chain,LLM03:2025 Supply Chain,broadMatch,atlas-data-contamination,Data contamination,ibm-risk-atlas-accuracy,A1007_Gipikis2024,Contamination detection,3.2 Data Governance,3. Operational Process Controls
llm032025-supply-chain,LLM03:2025 Supply Chain,broadMatch,atlas-data-contamination,Data contamination,ibm-risk-atlas-accuracy,A0923_UK Government2023,Data Audits for AI System Behavior,3.1 Testing & Auditing,3. Operational Process Controls
llm032025-supply-chain,LLM03:2025 Supply Chain,broadMatch,atlas-data-contamination,Data contamination,ibm-risk-atlas-accuracy,A0924_UK Government2023,Data Audits for AI System Behavior,3.1 Testing & Auditing,3. Operational Process Controls
llm032025-supply-chain,LLM03:2025 Supply Chain,broadMatch,atlas-data-curation,Improper data curation,ibm-risk-atlas-value-alignment,A1022_Uuk2024,Data curation,3.2 Data Governance,3. Operational Process Controls
llm032025-supply-chain,LLM03:2025 Supply Chain,broadMatch,atlas-data-curation,Improper data curation,ibm-risk-atlas-value-alignment,A0468_NIST2024,Training Data Curation,3.2 Data Governance,3. Operational Process Controls
llm032025-supply-chain,LLM03:2025 Supply Chain,broadMatch,atlas-data-curation,Improper data curation,ibm-risk-atlas-value-alignment,A0507_NIST2024,Data Provenance Verification,3.2 Data Governance,3. Operational Process Controls
llm032025-supply-chain,LLM03:2025 Supply Chain,broadMatch,atlas-data-provenance,Uncertain data provenance,ibm-risk-atlas-transparency,A0507_NIST2024,Data Provenance Verification,3.2 Data Governance,3. Operational Process Controls
llm032025-supply-chain,LLM03:2025 Supply Chain,broadMatch,atlas-data-provenance,Uncertain data provenance,ibm-risk-atlas-transparency,A0934_Gipikis2024,Use of Synthetic Data,3.2 Data Governance,3. Operational Process Controls
llm032025-supply-chain,LLM03:2025 Supply Chain,broadMatch,atlas-data-provenance,Uncertain data provenance,ibm-risk-atlas-transparency,A0916_UK Government2023,Assessment of Training Data,3.2 Data Governance,3. Operational Process Controls
llm032025-supply-chain,LLM03:2025 Supply Chain,broadMatch,atlas-data-usage-rights,Data usage rights restrictions,ibm-risk-atlas-intellectual-property,A0421_NIST2024,Terms of Service Establishment,3.3 Access Management,3. Operational Process Controls
llm032025-supply-chain,LLM03:2025 Supply Chain,broadMatch,atlas-data-usage-rights,Data usage rights restrictions,ibm-risk-atlas-intellectual-property,A0388_NIST2024,Legal Compliance Alignment,4.1 System Documentation,4. Transparency & Accountability Controls
llm032025-supply-chain,LLM03:2025 Supply Chain,broadMatch,atlas-data-usage-rights,Data usage rights restrictions,ibm-risk-atlas-intellectual-property,A0207_Schuett2023,Safety Restrictions,3.3 Access Management,3. Operational Process Controls
llm032025-supply-chain,LLM03:2025 Supply Chain,broadMatch,atlas-lack-of-data-transparency,Lack of data transparency,ibm-risk-atlas-governance,A0507_NIST2024,Data Provenance Verification,3.2 Data Governance,3. Operational Process Controls
llm032025-supply-chain,LLM03:2025 Supply Chain,broadMatch,atlas-lack-of-data-transparency,Lack of data transparency,ibm-risk-atlas-governance,A0934_Gipikis2024,Use of Synthetic Data,3.2 Data Governance,3. Operational Process Controls
llm032025-supply-chain,LLM03:2025 Supply Chain,broadMatch,atlas-lack-of-data-transparency,Lack of data transparency,ibm-risk-atlas-governance,A0930_UK Government2023,Sourcing or Generation of Additional Data for Training Dataset,3.2 Data Governance,3. Operational Process Controls
llm032025-supply-chain,LLM03:2025 Supply Chain,broadMatch,atlas-model-usage-rights,Model usage rights restrictions,ibm-risk-atlas-legal-compliance,A0421_NIST2024,Terms of Service Establishment,3.3 Access Management,3. Operational Process Controls
llm032025-supply-chain,LLM03:2025 Supply Chain,broadMatch,atlas-model-usage-rights,Model usage rights restrictions,ibm-risk-atlas-legal-compliance,A0971_Gipikis2024,Restricted usage terms for open-source models,3.3 Access Management,3. Operational Process Controls
llm032025-supply-chain,LLM03:2025 Supply Chain,broadMatch,atlas-model-usage-rights,Model usage rights restrictions,ibm-risk-atlas-legal-compliance,A0169_Future of Life Institute2024,Terms of Service,4.4 Governance Disclosure,4. Transparency & Accountability Controls
llm032025-supply-chain,LLM03:2025 Supply Chain,broadMatch,atlas-untraceable-attribution,Untraceable attribution,ibm-risk-atlas-explainability,A0932_UK Government2023,Independent Data Input Audits,4.5 Third-Party System Access,4. Transparency & Accountability Controls
llm032025-supply-chain,LLM03:2025 Supply Chain,broadMatch,atlas-untraceable-attribution,Untraceable attribution,ibm-risk-atlas-explainability,A0954_Gipikis2024,Interpretability techniques that target deception,3.1 Testing & Auditing,3. Operational Process Controls
llm032025-supply-chain,LLM03:2025 Supply Chain,broadMatch,atlas-untraceable-attribution,Untraceable attribution,ibm-risk-atlas-explainability,A0451_NIST2024,Content Flow Testing,3.1 Testing & Auditing,3. Operational Process Controls
llm032025-supply-chain,LLM03:2025 Supply Chain,relatedMatch,atlas-improper-retraining,Improper retraining,ibm-risk-atlas-value-alignment,A0921_UK Government2023,Audits for Misinformation,3.2 Data Governance,3. Operational Process Controls
llm032025-supply-chain,LLM03:2025 Supply Chain,relatedMatch,atlas-improper-retraining,Improper retraining,ibm-risk-atlas-value-alignment,A1012_Gipikis2024,Using an AI model to evaluate AI model outputs,3.1 Testing & Auditing,3. Operational Process Controls
llm032025-supply-chain,LLM03:2025 Supply Chain,relatedMatch,atlas-improper-retraining,Improper retraining,ibm-risk-atlas-value-alignment,A0792_UK Government2023,Pre-training and Fine-tuning of Models,3.1 Testing & Auditing,3. Operational Process Controls
llm032025-supply-chain,LLM03:2025 Supply Chain,relatedMatch,atlas-inaccessible-training-data,Inaccessible training data,ibm-risk-atlas-explainability,A0916_UK Government2023,Assessment of Training Data,3.2 Data Governance,3. Operational Process Controls
llm032025-supply-chain,LLM03:2025 Supply Chain,relatedMatch,atlas-inaccessible-training-data,Inaccessible training data,ibm-risk-atlas-explainability,A0913_UK Government2023,Principle of Data Minimisation,3.2 Data Governance,3. Operational Process Controls
llm032025-supply-chain,LLM03:2025 Supply Chain,relatedMatch,atlas-inaccessible-training-data,Inaccessible training data,ibm-risk-atlas-explainability,A0932_UK Government2023,Independent Data Input Audits,4.5 Third-Party System Access,4. Transparency & Accountability Controls
llm042025-data-and-model-poisoning,LLM04: Data and Model Poisoning,broadMatch,atlas-data-poisoning,Data poisoning,ibm-risk-atlas-robustness,A0934_Gipikis2024,Use of Synthetic Data,3.2 Data Governance,3. Operational Process Controls
llm042025-data-and-model-poisoning,LLM04: Data and Model Poisoning,broadMatch,atlas-data-poisoning,Data poisoning,ibm-risk-atlas-robustness,A0507_NIST2024,Data Provenance Verification,3.2 Data Governance,3. Operational Process Controls
llm042025-data-and-model-poisoning,LLM04: Data and Model Poisoning,broadMatch,atlas-data-poisoning,Data poisoning,ibm-risk-atlas-robustness,A0941_Gipikis2024,Internal data poisoning diagnosis,3.6 Incident Response & Recovery,3. Operational Process Controls
llm052025-improper-output-handling,LLM05:2025 Improper Output Handling,relatedMatch,atlas-over-or-under-reliance,Over- or under-reliance,ibm-risk-atlas-value-alignment,A0332_Campos2025,Decision-Making Protocols,1.5 Safety Decision Frameworks,1. Governance & Oversight Controls
llm052025-improper-output-handling,LLM05:2025 Improper Output Handling,relatedMatch,atlas-over-or-under-reliance,Over- or under-reliance,ibm-risk-atlas-value-alignment,A0437_NIST2024,Value Chain Risk Documentation,4.1 System Documentation,4. Transparency & Accountability Controls
llm052025-improper-output-handling,LLM05:2025 Improper Output Handling,relatedMatch,atlas-over-or-under-reliance,Over- or under-reliance,ibm-risk-atlas-value-alignment,A0052_Eisenberg2025,Establish AI decision explanation framework,4.6 User Rights & Recourse,4. Transparency & Accountability Controls
llm062025-excessive-agency,LLM06:2025 Excessive Agency,relatedMatch,atlas-over-or-under-reliance,Over- or under-reliance,ibm-risk-atlas-value-alignment,A0332_Campos2025,Decision-Making Protocols,1.5 Safety Decision Frameworks,1. Governance & Oversight Controls
llm062025-excessive-agency,LLM06:2025 Excessive Agency,relatedMatch,atlas-over-or-under-reliance,Over- or under-reliance,ibm-risk-atlas-value-alignment,A0437_NIST2024,Value Chain Risk Documentation,4.1 System Documentation,4. Transparency & Accountability Controls
llm062025-excessive-agency,LLM06:2025 Excessive Agency,relatedMatch,atlas-over-or-under-reliance,Over- or under-reliance,ibm-risk-atlas-value-alignment,A0052_Eisenberg2025,Establish AI decision explanation framework,4.6 User Rights & Recourse,4. Transparency & Accountability Controls
llm092025-misinformation,LLM09:2025 Misinformation,broadMatch,atlas-incomplete-advice,Incomplete advice,ibm-risk-atlas-value-alignment,A0892_UK Government2023,Content Filters,2.3 Model Safety Engineering,2. Technical & Security Controls
llm092025-misinformation,LLM09:2025 Misinformation,broadMatch,atlas-incomplete-advice,Incomplete advice,ibm-risk-atlas-value-alignment,A0117_Future of Life Institute2024,Harmful Data Removal from Training Sets,3.2 Data Governance,3. Operational Process Controls
llm092025-misinformation,LLM09:2025 Misinformation,broadMatch,atlas-incomplete-advice,Incomplete advice,ibm-risk-atlas-value-alignment,A0979_Gipikis2024,Post-deployment ongoing monitoring for unexpected use cases,3.5 Post-deployment Monitoring,3. Operational Process Controls
llm092025-misinformation,LLM09:2025 Misinformation,broadMatch,atlas-spreading-disinformation,Spreading disinformation,ibm-risk-atlas-misuse,A0476_NIST2024,Provenance Harm Identification,2.4 Content Safety Controls,2. Technical & Security Controls
llm092025-misinformation,LLM09:2025 Misinformation,broadMatch,atlas-spreading-disinformation,Spreading disinformation,ibm-risk-atlas-misuse,A0793_UK Government2023,Pre-Deployment Evaluations,3.1 Testing & Auditing,3. Operational Process Controls
llm092025-misinformation,LLM09:2025 Misinformation,broadMatch,atlas-spreading-disinformation,Spreading disinformation,ibm-risk-atlas-misuse,A0212_Schuett2023,Statement about governance structure,4.4 Governance Disclosure,4. Transparency & Accountability Controls
llm092025-misinformation,LLM09:2025 Misinformation,relatedMatch,atlas-hallucination,Hallucination,ibm-risk-atlas-robustness,A0921_UK Government2023,Audits for Misinformation,3.2 Data Governance,3. Operational Process Controls
llm092025-misinformation,LLM09:2025 Misinformation,relatedMatch,atlas-hallucination,Hallucination,ibm-risk-atlas-robustness,A0973_Gipikis2024,Pop-up interventions in LLMs,2.3 Model Safety Engineering,3. Operational Process Controls
llm092025-misinformation,LLM09:2025 Misinformation,relatedMatch,atlas-hallucination,Hallucination,ibm-risk-atlas-robustness,A0934_Gipikis2024,Use of Synthetic Data,3.2 Data Governance,3. Operational Process Controls
llm092025-misinformation,LLM09:2025 Misinformation,relatedMatch,atlas-harmful-code-generation,Harmful code generation,ibm-risk-atlas-value-alignment,A0512_NIST2024,Generated Code Review,3.1 Testing & Auditing,3. Operational Process Controls
llm092025-misinformation,LLM09:2025 Misinformation,relatedMatch,atlas-harmful-code-generation,Harmful code generation,ibm-risk-atlas-value-alignment,A1027_Uuk2024,Input and output filtering,2.3 Model Safety Engineering,2. Technical & Security Controls
llm092025-misinformation,LLM09:2025 Misinformation,relatedMatch,atlas-harmful-code-generation,Harmful code generation,ibm-risk-atlas-value-alignment,A0929_UK Government2023,Harmful Data for Reduction of Dangerous Capabilities,2.2 Model Alignment,2. Technical & Security Controls
